country_name,ctry_sh,iso3166_1a3,iso3166_snamelc,oegm_ctry_name,oegm_ctry_twoletter,oegc_ctry_name,oegc_loc_code,oegm_region_primary,oegts_country_name,oegts_region_midlev,oegts_region_highlev,oegts_origin_code,note
Afghanistan,,AFG,Afghanistan,,,Afghanistan,AFG,,,,,,
Albania,,ALB,Albania,,,Albania,ALB,,Albania,Emerging Europe,Europe,ALB,
Algeria,,DZA,Algeria,,,Algeria,DZA,,Algeria,North Africa,Africa and Middle East,DZA,
American Samoa,,ASM,American Samoa,,,,,,,,,,
Andorra,,AND,Andorra,,,,,,,,,,
Angola,,AGO,Angola,,,Angola,AGO,,Angola,Sub-Saharan Africa,Africa and Middle East,AGO,
Anguilla,,AIA,Anguilla,,,,,,Anguilla,Caribbean,Americas,AIA,
Antigua and Barbuda,,ATG,Antigua and Barbuda,,,,,,Antigua And Barbuda,Caribbean,Americas,ATG,
Argentina,arg,ARG,Argentina,ARGENTIN,AG,Argentina,ARG,Americas,Argentina,South America,Americas,ARG,
Armenia,,ARM,Armenia,,,Armenia,ARM,,Armenia,Emerging Europe,Europe,ARM,
Aruba,,ABW,Aruba,,,,,,Aruba,Caribbean,Americas,ARU,
Australia,aus,AUS,Australia,AUSTRALI,AL,Australia,AUS,Asia Pacific,Australia,Oceania,Asia Pacific,AUS,
Austria,aut,AUT,Austria,AUSTRIA,AU,Austria,AT,Europe,Austria,Western Europe,Europe,AUT,
Azerbaijan,,AZE,Azerbaijan,,,Azerbaijan,AZE,,Azerbaijan,Emerging Europe,Europe,AZE,
Bahamas,,BHS,Bahamas (the),,,Bahamas,BHS,,"Bahamas, The",Caribbean,Americas,BHS,
Bahrain,,BHR,Bahrain,,,Bahrain,BHR,,Bahrain,Middle East,Africa and Middle East,BHR,
Bangladesh,,BGD,Bangladesh,,,Bangladesh,BGD,,Bangladesh,South Asia,Asia Pacific,BGD,
Barbados,,BRB,Barbados,,,Barbados,BRB,,Barbados,Caribbean,Americas,BRB,
Belarus,,BLR,Belarus,,,Belarus,BLR,,Belarus,Emerging Europe,Europe,BLR,
Belgium,bel,BEL,Belgium,BELGIUM,BE,Belgium,BE,Europe,Belgium,Western Europe,Europe,BEL,
Belize,,BLZ,Belize,,,,,,Belize,Central America,Americas,BLZ,
Benin,,BEN,Benin,,,Benin,BEN,,Benin,Sub-Saharan Africa,Africa and Middle East,BEN,
Bermuda,,BMU,Bermuda,,,,,,Bermuda,Caribbean,Americas,BMU,
Bhutan,,BTN,Bhutan,,,,,,,,,,
Bolivia,,BOL,Bolivia (Plurinational State of),,,Bolivia,BOL,,Bolivia,South America,Americas,BOL,
