geoname,category,oegts_loc_code,
Asia Pacific,region_highlev,ASA,
Europe,region_highlev,EUR,
Americas,region_highlev,AME,
Middle East & Africa Total,region_highlev,MEA,
Not elsewhere specified,region_nes,NES,
South Asia,region_midlev,SAS,
Southeast Asia,region_midlev,SEA,
Northeast Asia,region_midlev,NEA,
Oceania,region_midlev,OCE,
Western Europe,region_midlev,WEU,
Emerging Europe,region_midlev,EEU,
North America,region_midlev,NMA,
South America,region_midlev,SAM,
Central America,region_midlev,CAM,
Caribbean,region_midlev,CAR, 
Middle East,region_midlev,MES,
Africa,region_midlev,AFR,
North Africa,region_midlev,NAF,
Sub-Saharan Africa,region_midlev,SSA,
